DISTRICT,YEAR,DB0BKA*R,DA0BKA*R,D40BKA*R,DE0BTA*R,DM0BTA*R,DH0BTA*R,DF0BKA*R,D20BKA*R,DA0BTA*R,DB0BTA*R,DI0BKA*R,DH0BKA*R,DW0BTA*R,DI0BTA*R,D20BTA*R,D30BTA*R,DW0BKA*R,D40BTA*R,D30BKA*R,DE0BKA*R,DM0BKA*R,DF0BTA*R
'040901,1998,,,,,,,,,,,,,,,,,,,,,,
'040902,1998,,,,,,,,,,,,,,,,,,,,,,
'041901,1998,,,,,,,,,,,,,,,,,,,,,,
'041902,1998,,,,,,,,,,,,,,,,,,,,,,
'042901,1998,,,,,,,,,,,,,,,,,,,,,,
'042903,1998,,,,,,,,,,,,,,,,,,,,,,
'042905,1998,,,,,,,,,,,,,,,,,,,,,,
'042906,1998,,,,,,,,,,,,,,,,,,,,,,
'043901,1998,,,,,,,,,,,,,,,,,,,,,,
'043902,1998,,,,,,,,,,,,,,,,,,,,,,
'043903,1998,,,,,,,,,,,,,,,,,,,,,,
'043904,1998,,,,,,,,,,,,,,,,,,,,,,
'043905,1998,,,,,,,,,,,,,,,,,,,,,,
'043907,1998,,,,,,,,,,,,,,,,,,,,,,
'043908,1998,,,,,,,,,,,,,,,,,,,,,,
'043910,1998,,,,,,,,,,,,,,,,,,,,,,
'043911,1998,,,,,,,,,,,,,,,,,,,,,,
'043912,1998,,,,,,,,,,,,,,,,,,,,,,
'043914,1998,,,,,,,,,,,,,,,,,,,,,,
'043917,1998,,,,,,,,,,,,,,,,,,,,,,
'043918,1998,,,,,,,,,,,,,,,,,,,,,,
'043919,1998,,,,,,,,,,,,,,,,,,,,,,
'044902,1998,,,,,,,,,,,,,,,,,,,,,,
'044904,1998,,,,,,,,,,,,,,,,,,,,,,
'045902,1998,,,,,,,,,,,,,,,,,,,,,,
'045903,1998,,,,,,,,,,,,,,,,,,,,,,
'045905,1998,,,,,,,,,,,,,,,,,,,,,,
'046901,1998,,,,,,,,,,,,,,,,,,,,,,
'046902,1998,,,,,,,,,,,,,,,,,,,,,,
'047901,1998,,,,,,,,,,,,,,,,,,,,,,
'047902,1998,,,,,,,,,,,,,,,,,,,,,,
'047903,1998,,,,,,,,,,,,,,,,,,,,,,
'047905,1998,,,,,,,,,,,,,,,,,,,,,,
'048901,1998,,,,,,,,,,,,,,,,,,,,,,
'048903,1998,,,,,,,,,,,,,,,,,,,,,,
'049901,1998,,,,,,,,,,,,,,,,,,,,,,
'049902,1998,,,,,,,,,,,,,,,,,,,,,,
'049903,1998,,,,,,,,,,,,,,,,,,,,,,
'049905,1998,,,,,,,,,,,,,,,,,,,,,,
'049906,1998,,,,,,,,,,,,,,,,,,,,,,
'049907,1998,,,,,,,,,,,,,,,,,,,,,,
'049908,1998,,,,,,,,,,,,,,,,,,,,,,
'049909,1998,,,,,,,,,,,,,,,,,,,,,,
'050901,1998,,,,,,,,,,,,,,,,,,,,,,
'050902,1998,,,,,,,,,,,,,,,,,,,,,,
'050904,1998,,,,,,,,,,,,,,,,,,,,,,
'050909,1998,,,,,,,,,,,,,,,,,,,,,,
'050910,1998,,,,,,,,,,,,,,,,,,,,,,
'051901,1998,,,,,,,,,,,,,,,,,,,,,,
'052901,1998,,,,,,,,,,,,,,,,,,,,,,
'053001,1998,,,,,,,,,,,,,,,,,,,,,,
'054901,1998,,,,,,,,,,,,,,,,,,,,,,
'054902,1998,,,,,,,,,,,,,,,,,,,,,,
'054903,1998,,,,,,,,,,,,,,,,,,,,,,
'055901,1998,,,,,,,,,,,,,,,,,,,,,,
'056901,1998,,,,,,,,,,,,,,,,,,,,,,
'056902,1998,,,,,,,,,,,,,,,,,,,,,,
'057801,1998,,,,,,,,,,,,,,,,,,,,,,
'057802,1998,,,,,,,,,,,,,,,,,,,,,,
'057803,1998,,,,,,,,,,,,,,,,,,,,,,
'057804,1998,,,,,,,,,,,,,,,,,,,,,,
'057903,1998,,,,,,,,,,,,,,,,,,,,,,
'057904,1998,,,,,,,,,,,,,,,,,,,,,,
'057905,1998,,,,,,,,,,,,,,,,,,,,,,
'057906,1998,,,,,,,,,,,,,,,,,,,,,,
'057907,1998,,,,,,,,,,,,,,,,,,,,,,
'057909,1998,,,,,,,,,,,,,,,,,,,,,,
'057910,1998,,,,,,,,,,,,,,,,,,,,,,
'057911,1998,,,,,,,,,,,,,,,,,,,,,,
'057912,1998,,,,,,,,,,,,,,,,,,,,,,
'057913,1998,,,,,,,,,,,,,,,,,,,,,,
'057914,1998,,,,,,,,,,,,,,,,,,,,,,
'057916,1998,,,,,,,,,,,,,,,,,,,,,,
'057919,1998,,,,,,,,,,,,,,,,,,,,,,
'057920,1998,,,,,,,,,,,,,,,,,,,,,,
'057922,1998,,,,,,,,,,,,,,,,,,,,,,
'058902,1998,,,,,,,,,,,,,,,,,,,,,,
'058905,1998,,,,,,,,,,,,,,,,,,,,,,
'058906,1998,,,,,,,,,,,,,,,,,,,,,,
'058909,1998,,,,,,,,,,,,,,,,,,,,,,
'059901,1998,,,,,,,,,,,,,,,,,,,,,,
'059902,1998,,,,,,,,,,,,,,,,,,,,,,
'060902,1998,,,,,,,,,,,,,,,,,,,,,,
'060914,1998,,,,,,,,,,,,,,,,,,,,,,
'061901,1998,,,,,,,,,,,,,,,,,,,,,,
'061902,1998,,,,,,,,,,,,,,,,,,,,,,
'061903,1998,,,,,,,,,,,,,,,,,,,,,,
'061905,1998,,,,,,,,,,,,,,,,,,,,,,
'061906,1998,,,,,,,,,,,,,,,,,,,,,,
'061907,1998,,,,,,,,,,,,,,,,,,,,,,
'061908,1998,,,,,,,,,,,,,,,,,,,,,,
'061910,1998,,,,,,,,,,,,,,,,,,,,,,
'061911,1998,,,,,,,,,,,,,,,,,,,,,,
'061912,1998,,,,,,,,,,,,,,,,,,,,,,
'061914,1998,,,,,,,,,,,,,,,,,,,,,,
'062901,1998,,,,,,,,,,,,,,,,,,,,,,
'062902,1998,,,,,,,,,,,,,,,,,,,,,,
'062903,1998,,,,,,,,,,,,,,,,,,,,,,
'062904,1998,,,,,,,,,,,,,,,,,,,,,,
'062905,1998,,,,,,,,,,,,,,,,,,,,,,
'062906,1998,,,,,,,,,,,,,,,,,,,,,,
'063903,1998,,,,,,,,,,,,,,,,,,,,,,
'063906,1998,,,,,,,,,,,,,,,,,,,,,,
'064901,1998,,,,,,,,,,,,,,,,,,,,,,
'064903,1998,,,,,,,,,,,,,,,,,,,,,,
'065901,1998,,,,,,,,,,,,,,,,,,,,,,
'065902,1998,,,,,,,,,,,,,,,,,,,,,,
'066005,1998,,,,,,,,,,,,,,,,,,,,,,
'066901,1998,,,,,,,,,,,,,,,,,,,,,,
'066902,1998,,,,,,,,,,,,,,,,,,,,,,
'066903,1998,,,,,,,,,,,,,,,,,,,,,,
'067902,1998,,,,,,,,,,,,,,,,,,,,,,
'067903,1998,,,,,,,,,,,,,,,,,,,,,,
'067904,1998,,,,,,,,,,,,,,,,,,,,,,
'067907,1998,,,,,,,,,,,,,,,,,,,,,,
'067908,1998,,,,,,,,,,,,,,,,,,,,,,
'068901,1998,,,,,,,,,,,,,,,,,,,,,,
'069901,1998,,,,,,,,,,,,,,,,,,,,,,
'069902,1998,,,,,,,,,,,,,,,,,,,,,,
'070901,1998,,,,,,,,,,,,,,,,,,,,,,
'070903,1998,,,,,,,,,,,,,,,,,,,,,,
'070905,1998,,,,,,,,,,,,,,,,,,,,,,
'070907,1998,,,,,,,,,,,,,,,,,,,,,,
'070908,1998,,,,,,,,,,,,,,,,,,,,,,
'070909,1998,,,,,,,,,,,,,,,,,,,,,,
'070910,1998,,,,,,,,,,,,,,,,,,,,,,
'070911,1998,,,,,,,,,,,,,,,,,,,,,,
'070912,1998,,,,,,,,,,,,,,,,,,,,,,
'070915,1998,,,,,,,,,,,,,,,,,,,,,,
'071901,1998,,,,,,,,,,,,,,,,,,,,,,
'071902,1998,,,,,,,,,,,,,,,,,,,,,,
'071903,1998,,,,,,,,,,,,,,,,,,,,,,
'071904,1998,,,,,,,,,,,,,,,,,,,,,,
'071905,1998,,,,,,,,,,,,,,,,,,,,,,
'071906,1998,,,,,,,,,,,,,,,,,,,,,,
'071907,1998,,,,,,,,,,,,,,,,,,,,,,
'071908,1998,,,,,,,,,,,,,,,,,,,,,,
'071909,1998,,,,,,,,,,,,,,,,,,,,,,
'072901,1998,,,,,,,,,,,,,,,,,,,,,,
'072902,1998,,,,,,,,,,,,,,,,,,,,,,
'072903,1998,,,,,,,,,,,,,,,,,,,,,,
'072904,1998,,,,,,,,,,,,,,,,,,,,,,
'072908,1998,,,,,,,,,,,,,,,,,,,,,,
'072909,1998,,,,,,,,,,,,,,,,,,,,,,
'072910,1998,,,,,,,,,,,,,,,,,,,,,,
'073901,1998,,,,,,,,,,,,,,,,,,,,,,
'073903,1998,,,,,,,,,,,,,,,,,,,,,,
'073904,1998,,,,,,,,,,,,,,,,,,,,,,
'073905,1998,,,,,,,,,,,,,,,,,,,,,,
'074903,1998,,,,,,,,,,,,,,,,,,,,,,
'074904,1998,,,,,,,,,,,,,,,,,,,,,,
'074905,1998,,,,,,,,,,,,,,,,,,,,,,
'074907,1998,,,,,,,,,,,,,,,,,,,,,,
'074909,1998,,,,,,,,,,,,,,,,,,,,,,
'074911,1998,,,,,,,,,,,,,,,,,,,,,,
'074912,1998,,,,,,,,,,,,,,,,,,,,,,
'074917,1998,,,,,,,,,,,,,,,,,,,,,,
'075901,1998,,,,,,,,,,,,,,,,,,,,,,
'075902,1998,,,,,,,,,,,,,,,,,,,,,,
'075903,1998,,,,,,,,,,,,,,,,,,,,,,
'075906,1998,,,,,,,,,,,,,,,,,,,,,,
'075908,1998,,,,,,,,,,,,,,,,,,,,,,
'076903,1998,,,,,,,,,,,,,,,,,,,,,,
'076904,1998,,,,,,,,,,,,,,,,,,,,,,
'077901,1998,,,,,,,,,,,,,,,,,,,,,,
'077902,1998,,,,,,,,,,,,,,,,,,,,,,
'078901,1998,,,,,,,,,,,,,,,,,,,,,,
'079901,1998,,,,,,,,,,,,,,,,,,,,,,
'079906,1998,,,,,,,,,,,,,,,,,,,,,,
'079907,1998,,,,,,,,,,,,,,,,,,,,,,
'079908,1998,,,,,,,,,,,,,,,,,,,,,,
'079910,1998,,,,,,,,,,,,,,,,,,,,,,
'080901,1998,,,,,,,,,,,,,,,,,,,,,,
'081902,1998,,,,,,,,,,,,,,,,,,,,,,
'081904,1998,,,,,,,,,,,,,,,,,,,,,,
'081905,1998,,,,,,,,,,,,,,,,,,,,,,
'081906,1998,,,,,,,,,,,,,,,,,,,,,,
'082902,1998,,,,,,,,,,,,,,,,,,,,,,
'082903,1998,,,,,,,,,,,,,,,,,,,,,,
'083901,1998,,,,,,,,,,,,,,,,,,,,,,
'083902,1998,,,,,,,,,,,,,,,,,,,,,,
'083903,1998,,,,,,,,,,,,,,,,,,,,,,
'084901,1998,,,,,,,,,,,,,,,,,,,,,,
'084902,1998,,,,,,,,,,,,,,,,,,,,,,
'084903,1998,,,,,,,,,,,,,,,,,,,,,,
'084904,1998,,,,,,,,,,,,,,,,,,,,,,
'084906,1998,,,,,,,,,,,,,,,,,,,,,,
'084908,1998,,,,,,,,,,,,,,,,,,,,,,
'084909,1998,,,,,,,,,,,,,,,,,,,,,,
'084910,1998,,,,,,,,,,,,,,,,,,,,,,
'084911,1998,,,,,,,,,,,,,,,,,,,,,,
'085902,1998,,,,,,,,,,,,,,,,,,,,,,
'085903,1998,,,,,,,,,,,,,,,,,,,,,,
'086024,1998,,,,,,,,,,,,,,,,,,,,,,
'086901,1998,,,,,,,,,,,,,,,,,,,,,,
'086902,1998,,,,,,,,,,,,,,,,,,,,,,
'087901,1998,,,,,,,,,,,,,,,,,,,,,,
'088902,1998,,,,,,,,,,,,,,,,,,,,,,
'089901,1998,,,,,,,,,,,,,,,,,,,,,,
'089903,1998,,,,,,,,,,,,,,,,,,,,,,
'089905,1998,,,,,,,,,,,,,,,,,,,,,,
'090902,1998,,,,,,,,,,,,,,,,,,,,,,
'090903,1998,,,,,,,,,,,,,,,,,,,,,,
'090904,1998,,,,,,,,,,,,,,,,,,,,,,
'090905,1998,,,,,,,,,,,,,,,,,,,,,,
'091901,1998,,,,,,,,,,,,,,,,,,,,,,
'091902,1998,,,,,,,,,,,,,,,,,,,,,,
'091903,1998,,,,,,,,,,,,,,,,,,,,,,
'091905,1998,,,,,,,,,,,,,,,,,,,,,,
'091906,1998,,,,,,,,,,,,,,,,,,,,,,
'091907,1998,,,,,,,,,,,,,,,,,,,,,,
'091908,1998,,,,,,,,,,,,,,,,,,,,,,
'091909,1998,,,,,,,,,,,,,,,,,,,,,,
'091910,1998,,,,,,,,,,,,,,,,,,,,,,
'091913,1998,,,,,,,,,,,,,,,,,,,,,,
'091914,1998,,,,,,,,,,,,,,,,,,,,,,
'091917,1998,,,,,,,,,,,,,,,,,,,,,,
'091918,1998,,,,,,,,,,,,,,,,,,,,,,
'092901,1998,,,,,,,,,,,,,,,,,,,,,,
'092902,1998,,,,,,,,,,,,,,,,,,,,,,
'092903,1998,,,,,,,,,,,,,,,,,,,,,,
'092904,1998,,,,,,,,,,,,,,,,,,,,,,
'092906,1998,,,,,,,,,,,,,,,,,,,,,,
'092907,1998,,,,,,,,,,,,,,,,,,,,,,
'092908,1998,,,,,,,,,,,,,,,,,,,,,,
'093901,1998,,,,,,,,,,,,,,,,,,,,,,
'093903,1998,,,,,,,,,,,,,,,,,,,,,,
'093904,1998,,,,,,,,,,,,,,,,,,,,,,
'093905,1998,,,,,,,,,,,,,,,,,,,,,,
'094901,1998,,,,,,,,,,,,,,,,,,,,,,
'094902,1998,,,,,,,,,,,,,,,,,,,,,,
'094903,1998,,,,,,,,,,,,,,,,,,,,,,
'094904,1998,,,,,,,,,,,,,,,,,,,,,,
'095901,1998,,,,,,,,,,,,,,,,,,,,,,
'095902,1998,,,,,,,,,,,,,,,,,,,,,,
'095903,1998,,,,,,,,,,,,,,,,,,,,,,
'095904,1998,,,,,,,,,,,,,,,,,,,,,,
'095905,1998,,,,,,,,,,,,,,,,,,,,,,
'096904,1998,,,,,,,,,,,,,,,,,,,,,,
'096905,1998,,,,,,,,,,,,,,,,,,,,,,
'096908,1998,,,,,,,,,,,,,,,,,,,,,,
'097902,1998,,,,,,,,,,,,,,,,,,,,,,
'097903,1998,,,,,,,,,,,,,,,,,,,,,,
'098901,1998,,,,,,,,,,,,,,,,,,,,,,
'098903,1998,,,,,,,,,,,,,,,,,,,,,,
'098904,1998,,,,,,,,,,,,,,,,,,,,,,
'099902,1998,,,,,,,,,,,,,,,,,,,,,,
'099903,1998,,,,,,,,,,,,,,,,,,,,,,
'100903,1998,,,,,,,,,,,,,,,,,,,,,,
'100904,1998,,,,,,,,,,,,,,,,,,,,,,
'100905,1998,,,,,,,,,,,,,,,,,,,,,,
'100907,1998,,,,,,,,,,,,,,,,,,,,,,
'100908,1998,,,,,,,,,,,,,,,,,,,,,,
'101801,1998,,,,,,,,,,,,,,,,,,,,,,
'101802,1998,,,,,,,,,,,,,,,,,,,,,,
'101803,1998,,,,,,,,,,,,,,,,,,,,,,
'101804,1998,,,,,,,,,,,,,,,,,,,,,,
'101805,1998,,,,,,,,,,,,,,,,,,,,,,
'101806,1998,,,,,,,,,,,,,,,,,,,,,,
'101807,1998,,,,,,,,,,,,,,,,,,,,,,
'101902,1998,,,,,,,,,,,,,,,,,,,,,,
'101903,1998,,,,,,,,,,,,,,,,,,,,,,
'101905,1998,,,,,,,,,,,,,,,,,,,,,,
'101906,1998,,,,,,,,,,,,,,,,,,,,,,
'101907,1998,,,,,,,,,,,,,,,,,,,,,,
'101908,1998,,,,,,,,,,,,,,,,,,,,,,
'101909,1998,,,,,,,,,,,,,,,,,,,,,,
'101910,1998,,,,,,,,,,,,,,,,,,,,,,
'101911,1998,,,,,,,,,,,,,,,,,,,,,,
'101912,1998,,,,,,,,,,,,,,,,,,,,,,
'101913,1998,,,,,,,,,,,,,,,,,,,,,,
'101914,1998,,,,,,,,,,,,,,,,,,,,,,
'101915,1998,,,,,,,,,,,,,,,,,,,,,,
'101916,1998,,,,,,,,,,,,,,,,,,,,,,
'101917,1998,,,,,,,,,,,,,,,,,,,,,,
'101919,1998,,,,,,,,,,,,,,,,,,,,,,
'101920,1998,,,,,,,,,,,,,,,,,,,,,,
'101921,1998,,,,,,,,,,,,,,,,,,,,,,
'101924,1998,,,,,,,,,,,,,,,,,,,,,,
'101925,1998,,,,,,,,,,,,,,,,,,,,,,
'102901,1998,,,,,,,,,,,,,,,,,,,,,,
'102902,1998,,,,,,,,,,,,,,,,,,,,,,
'102903,1998,,,,,,,,,,,,,,,,,,,,,,
'102904,1998,,,,,,,,,,,,,,,,,,,,,,
'102905,1998,,,,,,,,,,,,,,,,,,,,,,
'102906,1998,,,,,,,,,,,,,,,,,,,,,,
'103901,1998,,,,,,,,,,,,,,,,,,,,,,
'103902,1998,,,,,,,,,,,,,,,,,,,,,,
'104901,1998,,,,,,,,,,,,,,,,,,,,,,
'104902,1998,,,,,,,,,,,,,,,,,,,,,,
'104903,1998,,,,,,,,,,,,,,,,,,,,,,
'104907,1998,,,,,,,,,,,,,,,,,,,,,,
'105902,1998,,,,,,,,,,,,,,,,,,,,,,
'105904,1998,,,,,,,,,,,,,,,,,,,,,,
'105905,1998,,,,,,,,,,,,,,,,,,,,,,
'105906,1998,,,,,,,,,,,,,,,,,,,,,,
'106901,1998,,,,,,,,,,,,,,,,,,,,,,
'107901,1998,,,,,,,,,,,,,,,,,,,,,,
'107902,1998,,,,,,,,,,,,,,,,,,,,,,
'107904,1998,,,,,,,,,,,,,,,,,,,,,,
'107905,1998,,,,,,,,,,,,,,,,,,,,,,
'107906,1998,,,,,,,,,,,,,,,,,,,,,,
